collected_by,id,thread_title,comment
Johan,1,Mehrheit sieht ältere im Vorteil – nicht einmal ein Drittel der jungen glaubt an faire Rente,Solange alle ihre Tiefkühlpizza und RTL haben ist doch alles super!
Johan,2,Mehrheit sieht ältere im Vorteil – nicht einmal ein Drittel der jungen glaubt an faire Rente,Ich bin schockiert.
Johan,3,Mehrheit sieht ältere im Vorteil – nicht einmal ein Drittel der jungen glaubt an faire Rente,"Würden sich die babyboomer zu Tode arbeiten, bräuchte man ihnen keine Rente mehr zahlen"
Johan,4,Mehrheit sieht ältere im Vorteil – nicht einmal ein Drittel der jungen glaubt an faire Rente,Auf den Schreck erstmal eine Rentenerhöhung.
Johan,5,Mehrheit sieht ältere im Vorteil – nicht einmal ein Drittel der jungen glaubt an faire Rente,Finde den Generationen-Vertrag an sich schon dämlich. Will meine eigenen Rente auffüllen und nicht die von anderen.
Johan,6,Solarbranche: Reiche-Pläne gefährden Zehntausende Jobs,ist ja nicht so als wären es jobs in der automobilindustrie also warum die aufregung
Johan,7,Solarbranche: Reiche-Pläne gefährden Zehntausende Jobs,Leute alles gut. Laut der Eu Präsidentin kriegen wir bald eh alle kleine Mini Akws und dann jeder seinen eigenen Atompilz im Keller
Johan,8,Solarbranche: Reiche-Pläne gefährden Zehntausende Jobs,Die Öl&Gas Lobby macht halt n guten Job und die Reiche ist dankbares Opfer!
Johan,9,Solarbranche: Reiche-Pläne gefährden Zehntausende Jobs,Vergeht denn kein Tag wo dieser Roboter keine Dummheit macht
Johan,10,Ölkonzerne klagen gegen Untersuchung durch Bundeskartellamt,"Wer Probleme mit niedrigem Blutdruck hat, sollte den Artikel lesen. Dann pumpt es wieder ordentlich."
Johan,11,Ölkonzerne klagen gegen Untersuchung durch Bundeskartellamt,tankstellen müssten doch eigentlich gut brennen
Johan,12,Ölkonzerne klagen gegen Untersuchung durch Bundeskartellamt,"Ich würde gerne ein Reenactment der französischen Revolution veranstalten, mit Konzernchefs in der Rolle der Adligen."
Johan,13,Volkswagen: McKinsey soll Schließung fast aller deutschen Werke empfehlen,Diese drecks Unternehmensberater Firmen sind auch so Parasiten der Gesellschaft ohne jeglichen Mehrwert
Johan,14,Volkswagen: McKinsey soll Schließung fast aller deutschen Werke empfehlen,Empfehle die Schließung aller Deutschen McKinsey Zweigstellen
Johan,15,Volkswagen: McKinsey soll Schließung fast aller deutschen Werke empfehlen,Was die dann an personalkosten sparen können sich die Manager wieder als Boni auszahlen lassen
Lukas,16,"""Nur einmal am Tag erhöhen? Kein Problem!"" – Tankstellen starten morgens mit 10 Euro pro Liter","Tankstellen kaufen neue Anzeigetafeln, um zweistellige Euro-Preise anzeigen zu können"
Lukas,17,"""Nur einmal am Tag erhöhen? Kein Problem!"" – Tankstellen starten morgens mit 10 Euro pro Liter","Jetzt mal im Ernst: Warum nur das Erhöhen einschränken? Wäre es nicht viel sinnvoller, wenn der Preis über den Tag gleich bleiben muss?"
Lukas,18,Um künftige Schmutzkampagnen auszuschließen: Union will Verbreitung von Originalclips ihrer Kandidaten verbieten,Ich glaube die CDU würde ohne Kandidaten mehr Stimmen bekommen
Lukas,19,Um künftige Schmutzkampagnen auszuschließen: Union will Verbreitung von Originalclips ihrer Kandidaten verbieten,man muss sie vor sich selbst schützen.
Lukas,20,Straße von Hormus zu: Öltanker weichen auf Fahrradweg von Hormus aus,"Sehr vernünftig. Aber ich hoffe, sie halten trotzdem den 1,5 Meter Sicherheitsabstand zu Radfahrern."
Lukas,21,Straße von Hormus zu: Öltanker weichen auf Fahrradweg von Hormus aus,"Kommen dann aber leider nicht weiter, weil ein Auto ""nur mal kurz"" auf dem Radweg parkt."
Lukas,22,Plötzlich Facebook-Lobbyistin: Irlands einst höchste Datenschützerin wechselt die Seite,Von Datenschutz zu Datenschmutz/s
Lukas,23,Plötzlich Facebook-Lobbyistin: Irlands einst höchste Datenschützerin wechselt die Seite,"Sowas sollte sofort die Verdachtsannahme von Korruption, Amtsmissbrauch und ggf. Hochverrat begründen"
Lukas,24,15-Jähriger fährt Freundin mit gestohlenem Linienbus zur Schule,Princess Treatment oder Bare Minimum?
Lukas,25,15-Jähriger fährt Freundin mit gestohlenem Linienbus zur Schule,"Also wenn ich die Freundin wäre, ich hätte den auf der Stelle geheiratet, lmao."
Lukas,26,15-Jähriger fährt Freundin mit gestohlenem Linienbus zur Schule,Der kriegt bald Jobangebote.
Lukas,27,15-Jähriger fährt Freundin mit gestohlenem Linienbus zur Schule,"Das ganze flog auf, weil der Bus pünktlich kam."
Lukas,28,15-Jähriger fährt Freundin mit gestohlenem Linienbus zur Schule,"Da nimmt man mal die Öffis, ist es auch wieder nicht Recht."
Lukas,29,Landtagswahl Baden-Württemberg: Cem Özdemir lehnt Teilung der Amtszeit des Ministerpräsidenten ab,Ist ja auch ne dämliche Idee. Gewonnen ist gewonnen. Punkt.
Lukas,30,Landtagswahl Baden-Württemberg: Cem Özdemir lehnt Teilung der Amtszeit des Ministerpräsidenten ab,Eigentlich eine Schande sowas auch nur vorzuschlagen.
Romy,31,VW gerettet! Konzern feuert alle Arbeiter und behält nur noch den Vorstand,"Wenn du härter arbeitest, kannst auch du von einem überbezahlten Manager gefeuert werden"
Romy,32,VW gerettet! Konzern feuert alle Arbeiter und behält nur noch den Vorstand,"Manchmal habe ich das Gefühl, dass bestimmte Vorstände wirklich so denken "
Romy,33,VW gerettet! Konzern feuert alle Arbeiter und behält nur noch den Vorstand,"Unironisch könnte man viele Konzerne retten, wenn man einfach den Vorstand rauswerfen würde."
Romy,34,Wie Jeffrey Epstein offenbar mit Steuern trickste ,Manchmal machen auch die besten Menschen wohl mal einen Fehler. 
Romy,35,Wie Jeffrey Epstein offenbar mit Steuern trickste,Der Mann war auch schon vorher ein Monster…aber das geht jetzt endgültig zu weit!!!!
Romy,36,Wie Jeffrey Epstein offenbar mit Steuern trickste,"Paradebeispiel für schlechten ""Journalismus"""
Romy,37,Mehr als 600 000 Menschen traten 2025 aus der Kirche aus,Endlich mal gute Nachrichten.
Romy,38,Mehr als 600 000 Menschen traten 2025 aus der Kirche aus,Netflix ist als nächstes dran …
Romy,39,Mehr als 600 000 Menschen traten 2025 aus der Kirche aus,"Ich bin zwar nie eingetreten, aber ich würde trotzdem gern austreten."
Romy,40,Trump spricht von „Übernahme“ Kubas,Kommen wieder Epstein files? 
Romy,41,Trump spricht von „Übernahme“ Kubas,"Wie wär’s, wenn er erstmal den Krieg zu Ende bringt, den er gerade erst begonnen hat?"
Romy,42,Verdener Schülerzeitung deckt Neonazi-Netz auf – und gewinnt Landespreis,Jede Schülerzeitung ist kompetenter als die deutsche Polizei.
Romy,43,Immer weniger Demenzdiagnosen in Deutschland,Es gibt auch noch positive Nachrichten?
Romy,44,Längere Werbung auf Youtube lässt sich nicht überspringen,"Immer wenn ich wieder auf dem mobilen Gerät versuche YT zu schauen, merke ich erst wie unerträglich das mittlerweile ist."
Romy,45, Längere Werbung auf Youtube lässt sich nicht überspringen,Und irgendwann gibs im premium youtube auch Werbung xD
Eloise,46,USA laut Studie keine liberale Demokratie mehr: https://orf.at/stories/3424095/,Vermutlich hat die Redaktion jetzt eine Einreisesperre
Eloise,47,USA laut Studie keine liberale Demokratie mehr: https://orf.at/stories/3424095/,Ach wirklich? Man male mich überrascht.
Eloise,48,USA laut Studie keine liberale Demokratie mehr: https://orf.at/stories/3424095/,Die finden aber auch echt alles raus.
Eloise,49,EuGH: Kirchenaustritt allein reicht nicht für Kündigung,Richtig und wichtig. Kirchenrecht ist eh oft fragwürdig.
Eloise,50,"Psychotherapie: Wer hier kürzt, produziert mehr Krankheit und Leid","Wieso? Die Therapie findet jetzt doch im Jobcenter beim Betreuer statt. Die sagen einem dass man doch nicht psychisch krank ist und nur so tut, und zack ist man geheilt."
Eloise,51,"Psychotherapie: Wer hier kürzt, produziert mehr Krankheit und Leid","Ja, aber ihr müsst das einfach durch die Wirtschaftskompetenzbrille der Union betrachten. Wenn man das jetzt kürzt, gibts auch weniger Diagnosen, die das Jobcenter anzweifeln muss. Was wir dadurch an Verwaltungskosten sparen werden - so große Zahlen gibts garnicht ....."
Eloise,52,"Psychotherapie: Wer hier kürzt, produziert mehr Krankheit und Leid","Sehen Sie demnächst in diesem Theater: ""Oh nein, wo kommen denn die ganzen Obdachlosen her?"""
Eloise,53,Wehrdienst: Deutlich mehr Menschen bewerben sich bei der Bundeswehr,"Wenn der Arbeitsmarkt schwächelt, steigt die Attraktivität von sicheren Arbeitgebern. Ganz normale und nachvollziehbare Entwicklung eigentlich."
Eloise,54,Wehrdienst: Deutlich mehr Menschen bewerben sich bei der Bundeswehr,"Also sollten wir schleunigst den Wehrdienst wieder einführen, weil freiwilligkeit offensichtlich nicht funktioniert, wenn die Anreize stimmen. Zwang ist der beste weg"
Eloise,55,EU-Einigung scheitert: Freiwillige 'Chatkontrolle' endet,Bis zum nächsten Versuch.
Eloise,56,EU-Einigung scheitert: Freiwillige 'Chatkontrolle' endet,Für heute?
Eloise,57,EU-Einigung scheitert: Freiwillige 'Chatkontrolle' endet,"Superheld Spongebob steht vor Berg und sagt ""Soll ich nochmal?"".png Fischbürger zu altem Fischbürger ""Wir oft müssen wir dir diese Lektion noch erteilen alter Mann!?"".jpg"
Eloise,58,Investitionen - Auch aus der CDU kommen Forderungen nach Aufklärungen über Verwendung des Sondervermögens,Da kann Reiche gleich die nächste Arbeitsgruppe gründen um das ganze zu veschleppen
Eloise,59,Verschwörungs-Demo in Berlin: Xavier Naidoo singt „Dieser Weg“ – deutlich weniger Teilnehmende als angekündigt,Gab's da auch embryonal gewürzte Currywurst mit Pommes?
Eloise,60,Verschwörungs-Demo in Berlin: Xavier Naidoo singt „Dieser Weg“ – deutlich weniger Teilnehmende als angekündigt,Dieser Weg ist peinlich und leer.
